Trace,Scenario,TraceNumber,Median,Max,Min,SD,IQR,MaxDroughtLength,Driest10yr,Wettest10yr,demand,mead,powell,InitCombinedStorage,Neuron,Cluster
130,npc_adjusted,33,12.35916087,20.84577931,5.450806405,4.093392699,6.050162675,11,8.516285809,14.78862262,4.325882915,1042.383108,3564.480151,15.25156696,51,7
132,npc_adjusted,35,9.616052302,25.14818178,5.559216044,4.836132377,3.074286539,10,8.558695111,13.28746281,4.261714692,1077.989117,3585.386753,19.57633768,24,8
134,npc_adjusted,37,13.71057698,25.18256276,5.310487554,5.899044967,6.7958167,6,10.28055745,19.38821011,5.318358884,1033.813071,3565.430035,14.73631381,14,1
137,npc_adjusted,40,14.63872962,24.82652576,4.880701014,6.247126092,10.5986458,8,8.759234528,20.95412311,5.799014396,1047.629407,3583.076223,17.05486198,14,1
138,npc_adjusted,41,15.82379449,26.45691848,7.787367905,5.18551756,4.568755515,3,15.01631613,18.3596139,5.415306553,990.1169938,3512.716791,8.796489132,45,3
140,npc_adjusted,43,13.56725349,24.28911982,5.325238706,4.867571714,8.04785602,7,11.96708403,17.28148952,4.998712304,1080.283513,3620.499287,22.996678,47,3
143,npc_adjusted,46,11.12908605,20.93675697,5.475862349,4.132182726,5.312381663,10,9.946025005,15.30439455,5.976774971,1098.756353,3655.043093,28.56279823,6,4
145,npc_adjusted,48,14.10289797,25.46808765,7.074916893,4.607690184,7.564733539,5,12.14775665,15.43374122,4.992719554,1113.317905,3700,36.27335797,3,2
148,npc_adjusted,51,15.50737476,25.96330329,6.00363269,5.057858175,4.985186965,6,12.50861798,19.69874182,4.609967104,1024.624361,3588.361901,15.9353537,46,3
150,npc_adjusted,53,10.35504506,24.37107017,5.092062845,4.564451855,5.285440284,7,10.50758859,14.96767168,4.522507615,1054.299504,3584.282543,17.63731659,51,7
151,npc_adjusted,54,12.27986527,26.36916031,5.639257617,5.169065573,6.052799134,11,8.1951029,15.89567247,5.728171712,1046.9306,3545.585766,14.26971737,34,3
156,npc_adjusted,59,10.47162959,25.29645436,5.429333558,4.578708476,6.61065489,9,9.780182852,15.22422229,4.878263201,1057.938921,3590.970306,18.4661408,19,3
163,npc_adjusted,66,9.481428712,24.31788237,5.257227432,4.797171642,4.677385555,9,9.406334263,13.13619258,4.26588378,1066.419827,3588.173407,18.87988255,8,6
164,npc_adjusted,67,11.56543109,25.91862785,5.407771682,5.567435572,7.723387793,8,10.05852035,16.89176662,4.252390154,1063.137639,3593.98997,19.12192462,22,5
168,npc_adjusted,71,14.53405778,25.52224989,7.053099124,4.553451063,6.581263212,4,13.26963152,15.91971002,5.372011698,1099.148074,3688.652482,33.22310473,3,2
170,npc_adjusted,73,13.59279466,24.76759532,7.008419177,4.554060666,7.359666628,5,10.96029892,16.78514755,4.690779976,1093.408775,3660.165519,28.74695734,2,2
171,npc_adjusted,74,12.5847203,26.10406632,8.049653952,5.1412723,6.622415927,7,12.03398117,16.2169267,4.745363061,1122.689797,3695.003844,36.39619329,1,1
